_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4490517,22976,BP-29358,25,Dockside Dr,Dockside Dr,South,Knapp Lane,South,,10,The Waterfront,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3666655427469, 43.6430150318222]]}"
4490518,22977,BP-29367,7,Yonge St,Freeland St,West,Lake Shore Blvd E,South,,10,The Waterfront,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3739765070017, 43.6441528533042]]}"
4490519,22978,BP-29371,25,Dockside Dr,Dockside Dr,South,Knapp Lane,South,,10,The Waterfront,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3670022697436, 43.6429347807815]]}"
4490520,22979,BP-29392,2525,St Clair Ave W,St Clair Ave W,South,Castleton Ave,South,,05,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4855482583748, 43.6684405589459]]}"
4490521,22980,BP-29411,23,George St,George St,North,Fern Ave,East,,05,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5208741147728, 43.7031809324214]]}"
4490522,22981,BP-29413,1844,Weston Rd,Weston Rd,South,Bellevue Cres,South,,05,Weston Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5145441571934, 43.6994354540203]]}"
4490523,22982,BP-29420,1282A,Weston Rd,Weston Rd,South,Sunnybrae Cres,West,,05,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4953970139296, 43.6889767492831]]}"
4490524,22983,BP-29436,1292,Weston Rd,Weston Rd,South,Bartonville Ave E,South,,05,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4957419619509, 43.6890985592461]]}"
4490525,22984,BP-29439,1149,Weston Rd,Weston Rd,East,Eglinton Ave W,South,,05,Mount Dennis,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4887255906984, 43.686657811567]]}"
4490526,22985,BP-29483,585,Church St,Isabella St,South,Church St,East,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3816799534104, 43.6683559797093]]}"
4490527,22986,BP-29487,77,Huntley St,Bloor St E,South,Mount Pleasant Bloor Ramp,East,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3788288318277, 43.6718606310163]]}"
4490528,22987,BP-29502,105,Isabella St,Jarvis St,West,Isabella St,South,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3793936604874, 43.6685404040342]]}"
4490529,22988,BP-29511,108,Sherbourne St,Richmond St E,North,Sherbourne St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.369336537805, 43.6534105502847]]}"
4490530,22989,BP-29538,310,Queen St E,Queen St E,North,Berkeley St,West,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.366194529064, 43.6552900349713]]}"
4490531,22990,BP-29556,313,Richmond St E,Richmond St E,South,Mc Farrens Lane,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3682418398248, 43.6535082816912]]}"
4490532,22991,BP-29558,313,Richmond St E,Richmond St E,South,Mc Farrens Lane,South,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3685568749904, 43.6534411161966]]}"
4490533,22992,BP-20223,1303,Queen St W,Queen St W,South,Cowan Ave,East,,04,Parkdale Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4327420072654, 43.6412503250894]]}"
4490534,22993,BP-20242,1235A,Queen St W,Queen St W,South,Gwynne Ave,West,,04,Parkdale Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.430202803253, 43.6418342343825]]}"
4490535,22994,BP-20251,1205,Queen St W,Queen St W,South,Dufferin St,West,,04,Parkdale Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4289921645547, 43.6420675875474]]}"
4490536,22995,BP-20264,70,Jefferson Ave,Jefferson Ave,West,Liberty St,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4215841035149, 43.6379598642274]]}"
4490537,22996,BP-20272,30,Jefferson Ave,Jefferson Ave,West,Ln S Liberty E Jefferson,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4213146423345, 43.6372595606542]]}"
4490538,22997,BP-20276,30,Jefferson Ave,Jefferson Ave,West,Ln S Liberty E Jefferson,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.421216732225, 43.63700242275641]]}"
4490539,22998,BP-20284,41,Fraser Ave,Fraser Ave,East,Liberty St,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4237516538627, 43.6368608216117]]}"
4490540,22999,BP-20288,135,Liberty St,Fraser Ave,East,Liberty St,North,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4241606129543, 43.6379827377848]]}"
4490541,23001,BP-20447,150,Grenoble Dr,Grenoble Dr,East,Spanbridge Rd,East,,16,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3265897313695, 43.7133581937926]]}"
4490542,23005,BP-20464,1151,College St,College St,South,Sheridan Ave,East,,09,College West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4343681784332, 43.6521207178088]]}"
4490543,23006,BP-27600,262,Spadina Ave,Spadina Ave,West,Grange Ave,North,,10,Chinatown,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3978573448604, 43.6520153254005]]}"
4490544,23007,BP-27602,214-220,College St,College St,North,Ross St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.396736054058, 43.6586308793914]]}"
4490545,23008,BP-27607,214-220,College St,College St,North,Ross St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3966543053946, 43.6587144910432]]}"
4490546,23009,BP-27612,214-220,College St,College St,North,Ross St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3966429133992, 43.6587277757339]]}"
4490547,23010,BP-27624,184,College St,College St,North,Henry St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3944952912699, 43.6590715555267]]}"
4490548,23011,BP-27626,368,Spadina Ave,Spadina Ave,West,Baldwin St,West,,11,Chinatown,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3989794369997, 43.6548254656292]]}"
4490549,23012,BP-27656,214,College St,College St,North,Ross St,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3970070329024, 43.6585784839745]]}"
4490550,23013,BP-27659,194,Spadina Ave,Spadina Ave,West,Phoebe St,West,,10,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3970651248974, 43.6500900431099]]}"
4490551,23014,BP-27669,184-200,College St,College St,North,Ln E Beverley S College,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3950628664959, 43.6589481474103]]}"
4490552,23015,BP-27681,214-220,College St,College St,North,Ross St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3966497002103, 43.6587031991901]]}"
4490553,23016,BP-27693,460,Spadina Ave,Spadina Ave,West,Ln S College E Spadina,West,,11,Chinatown,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4000180934754, 43.6574201632391]]}"
4490554,23017,BP-27715,488,College St,College St,North,Markham St,West,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4095197395427, 43.6562018787416]]}"
4490555,23018,BP-27736,534,College St,College St,North,Euclid Ave,East,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4110704023431, 43.6558811442287]]}"
4490556,23019,BP-27738,637,College St,College St,South,Grace St,East,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4153371813782, 43.65487120060661]]}"
4490557,23020,BP-27745,644,College St,Grace St,West,Ln N College E Grace,South,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4158270413717, 43.6551118264824]]}"
4490558,23021,BP-27746,766,College St,College St,North,Shaw St,East,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4200453274008, 43.655033968531]]}"
4490559,23022,BP-27747,637,College St,College St,South,Ln 1 W Clinton N Gore,North,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4151290768992, 43.6548891570162]]}"
4490560,23023,BP-27754,496,College St,College St,North,Palmerston Blvd,East,,11,Little Italy,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4097807072278, 43.6561471767558]]}"
4490561,23024,BP-27791,460,Manning Ave,Manning Ave,West,Ln 2 N College W Manning,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4135860195003, 43.6577113738848]]}"
4490562,23025,BP-25734,2727,Victoria Park Ave,Victoria Park Ave,East,Patrick Blvd,South,,22,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3237361112223, 43.7772459248208]]}"
4490563,23026,BP-25737,3783,Lake Shore Blvd W,Lake Shore Blvd W,South,Fortieth St,East,,03,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5416061139699, 43.5925160020629]]}"
4490564,23027,BP-25738,52,Exmoor Dr,Lake Shore Blvd W,North,Ww W Fortieth S Lake Shore,West,,03,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.54397644614781, 43.591775996539]]}"
4490565,23028,BP-23284,1530,Markham Rd,Milner Ave,North,Markham Rd,West,,23,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.2375649471939, 43.7896035643015]]}"
4490566,23029,BP-23836,15,Cooper St,Cooper St,East,Lake Shore Blvd E,South,,10,The Waterfront,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3718440027905, 43.6440933778287]]}"
4490567,23030,BP-23633,1906-1930,Weston Rd,Weston Rd,South,John St,East,,05,Weston Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.517232222377, 43.7003545254458]]}"
4490568,23031,BP-23916,120,Bayview Ave,Bayview Ave,East,Mill St,North,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3531950040868, 43.6531844785665]]}"
4490569,23032,BP-23309,2393,Yonge St,Yonge St,East,Broadway Ave,North,,15,Uptown Yonge,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3989315068921, 43.7099804193308]]}"
4490570,23033,BP-23490,5075,Yonge St,Hillcrest Ave,North,Yonge St,East,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4120843828191, 43.7676410615257]]}"
4490571,23034,BP-23313,4773,Yonge St,Yonge St,East,Bogert Ave,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4106205106556, 43.7609430926943]]}"
4490572,23035,BP-23413,66A,Finch Ave W,Finch Ave W,North,Kensington Ave,West,,18,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4209139159926, 43.7786780099672]]}"
4490573,23038,BP-23326,184,Parkview Ave,Willowdale Ave,East,Parkview Ave,North,,18,,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4035666793972, 43.7734358520005]]}"
4490574,23039,BP-31286,805,Bloor St W,Bloor St W,South,Crawford St,East,,11,Korea Town,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4214846524792, 43.6628080257116]]}"
4490575,23040,BP-31300,538,Manning Ave,Harbord St,North,Ln E Clinton N Harbord,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4149725356947, 43.6605462536598]]}"
4490576,23041,BP-31327,250,Dundas St W,Dundas St W,North,St Patrick St,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3900524744849, 43.6545715273036]]}"
4490577,23044,BP-31356,142,St Patrick St,St Patrick St,West,Dundas St W,South,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3901785447059, 43.65389070502761]]}"
4490578,23045,BP-31359,3,St Patrick St,St Patrick St,East,Pullan Pl,South,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3886501326999, 43.6507314602732]]}"
4490579,23046,BP-31390,250,Dundas St W,Dundas St W,North,Simcoe St,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3898384483198, 43.6546107201791]]}"
4490580,23047,BP-31394,16,Orde St,Orde St,North,Murray St,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3917767274767, 43.6583496624559]]}"
4490581,23048,BP-31409,427A,Queen St W,Queen St W,South,Spadina Ave,East,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3955452043418, 43.6488450362214]]}"
4490582,23049,BP-31417,39-63,Spring Garden Ave,Spring Garden Ave,South,Doris Ave,West,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4097447178991, 43.7646638085977]]}"
4490583,23050,BP-31423,4711,Yonge St,Yonge St,East,Poyntz Ave,South,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4103466900115, 43.75985269049]]}"
4490584,23052,BP-31468,5111,Yonge St,Yonge St,East,Hillcrest Ave,North,,18,Willowdale,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4125052916232, 43.7683774735884]]}"
4490585,23054,BP-27003,811,Dovercourt Rd,Dovercourt Rd,East,Ln N Northumberland E Dovercourt,South,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4297247650508, 43.6627538625224]]}"
4490586,23055,BP-27016,1051,Ossington Ave,Dupont St,South,Ossington Ave,East,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4287623356158, 43.6700195680265]]}"
4490587,23056,BP-27061,147,Hallam St,Dovercourt Rd,West,Hallam St,South,,09,Dovercourt Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4317096377527, 43.6669863065073]]}"
