_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4480643,40,BP-12883,21,Canniff St,,,Strachan Ave,,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4114934143378, 43.6414512066734]]}"
4480644,102,BP-11699,70,The Pond Rd,,,Seneca Lane,,,07,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4998342614142, 43.7707701519576]]}"
4480645,157,BP-11338,1495,Queen St W,,,Dowling Ave,,,04,Parkdale Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4402532672444, 43.6398101276477]]}"
4480646,166,BP-03501,8,Kensington Ave,,,Kensington Ave,,,11,Kensington Market,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4001274086522, 43.6530577620828]]}"
4480647,181,BP-11634,8,Assiniboine Rd,,,Scholars Walk,,,07,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5035363297291, 43.76862302965]]}"
4480648,186,BP-08338,50,Western Battery Rd,,,Pirandello St,East,,10,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4140278736865, 43.6399381912054]]}"
4480649,219,BP-12074,1960,Queen St E,,,Kenilworth Ave,,,19,The Beach,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3020630339304, 43.6696525999449]]}"
4480650,243,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3953361766065, 43.6720003272253]]}"
4480651,262,BP-13787,147,Baldwin St,,,Spadina Ave,,,11,Kensington Market,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3998664709892, 43.6548878783334]]}"
4480652,271,BP-14805,359,King St E,,,Derby St,,,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3647867344514, 43.6519701999956]]}"
4480653,310,BP-03939,50,Blue Jays Way,,,Mercer St,,,10,Toronto Downtown West,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3921196078987, 43.64531759506491]]}"
4480654,324,BP-05924,1313,Bloor St W,,,St Helens Ave,,,09,Bloordale Village,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4439131599396, 43.6577609079604]]}"
4480655,384,BP-07766,162,Mc Caul St,,,Mc Caul St,,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3920679390701, 43.6556277674895]]}"
4480656,394,BP-14494,1246,Bloor St W,,,Margueretta St,,,09,Bloordale Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.440075721153, 43.6589713433798]]}"
4480657,403,BP-15331,911,Davenport Rd,,,Davenport Rd,,,12,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4234423850333, 43.675402963235]]}"
4480658,406,BP-08916,20,Lombard St,,,Lombard St,,,13,St. Lawrence Market Neighbourhood,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3773239406763, 43.6514169410561]]}"
4480659,441,BP-06263,105,Victoria St,,,Victoria St,,,13,St. Lawrence Market Neighbourhood,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3774822182661, 43.6520898543049]]}"
4480660,450,BP-15776,131,Dunn Ave,Dunn Ave,East,King St W,South,,04,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4324417802216, 43.6357664624931]]}"
4480661,451,BP-15128,180,Elizabeth St,,,Walton St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3861627617275, 43.6573739813884]]}"
4480662,471,BP-14932,2,Sussex Ave,,,Sussex Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3991354492668, 43.6656223387525]]}"
4480663,472,BP-13141,78,Dewson St,,,Dovercourt Rd,,,09,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4271168971538, 43.6562992002602]]}"
4480664,491,BP-03667,55,Oakmount Rd,,,Bloor St W,,,04,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4632882467601, 43.6559606527956]]}"
4480665,511,BP-11207,59,Spadina Rd,,,Lowther Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.40486406578401, 43.6694857255314]]}"
4480666,561,BP-05510,2078,Queen St E,,,Leuty Ave,,,19,The Beach,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.2965745184679, 43.6708492863782]]}"
4480667,621,BP-13958,2,London St,,,London St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4119212766667, 43.666705531545]]}"
4480668,623,BP-03606,794,Mount Pleasant Rd,,,Brownlow Ave,,,12,Mount Pleasant Village,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3910242321784, 43.7081371656379]]}"
4480669,630,BP-11260,125,Bathurst St,,,Bathurst St,,,10,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4025664048428, 43.6454714933524]]}"
4480670,644,BP-12372,77,Cottingham St,,,Gange Ave,,,12,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3949406497376, 43.6800881275002]]}"
4480671,656,BP-14382,520,Parliament St,,,Winchester St,,,13,Cabbagetown,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3687707873544, 43.6660052238324]]}"
4480672,666,BP-09551,203,Kingston Rd,,,Rainsford Rd,,,19,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3089198515406, 43.6729386255402]]}"
4480673,672,BP-16615,230,College St,,,College St,,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3978930973514, 43.6584030414659]]}"
4480674,698,BP-07615,819,Bathurst St,,,London St,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.41133668617312, 43.66606309537]]}"
4480675,709,BP-10566,61,Hanna Ave,,,Hanna Ave,,,10,Liberty Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4177710593482, 43.6396824074137]]}"
4480676,724,BP-14256,2980,Bloor St W,,,Willingdon Blvd,,,03,The Kingsway,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5095084293383, 43.6478827699972]]}"
4480677,735,BP-07881,7,King St E,,,Victoria St,,,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3772480821794, 43.6492270086673]]}"
4480678,806,BP-10390,254A,Kennedy Ave,,,Bloor St W,,,04,Bloor West Village,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4754176918078, 43.65177594284881]]}"
4480679,903,BP-04047,585,King St W,,,Portland St,,,10,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3999421302424, 43.6443229021368]]}"
4480680,927,BP-10113,3080,Yonge St,Yonge St,West,Lawrence Ave W,North,,08,Yonge Lawrence Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.40246336840852, 43.7255657207323]]}"
4480681,936,BP-03347,145,Queens Quay W,,,York St,,,10,The Waterfront,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.37967028434281, 43.6396200276626]]}"
4480682,971,BP-13006,2,Jackes Ave,Yonge St,East,Jackes Ave,North,,12,Yonge & St. Clair,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3928795462618, 43.685381270884]]}"
4480683,989,BP-05479,2,Sussex Ave,,,Sussex Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3991186059139, 43.665580647701]]}"
4480684,1085,BP-13603,648,Spadina Ave,,,Harbord St,,,11,Harbord Street,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4024920992733, 43.6630525516381]]}"
4480685,1106,BP-16307,2,Sussex Ave,,,Sussex Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3991396846895, 43.665632892056]]}"
4480686,1113,BP-16825,251,Sorauren Ave,,,Fermanagh Ave,,,04,,Rack,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4436559460241, 43.6471431938427]]}"
4480687,1138,BP-12471,8,Assiniboine Rd,,,Kidd Ter,,,07,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5047969717063, 43.7678846983223]]}"
4480688,1155,BP-08068,2013,Eglinton Ave W,,,Miranda Ave,,,09,Fairbank Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4554091380864, 43.6944651010572]]}"
4480689,1187,BP-14485,433,Royal York Rd,,,Algoma St,,,03,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.5002375876335, 43.620890302139]]}"
4480690,1209,BP-19354,1351,Dufferin St,Dufferin St,East,Geary Ave,North,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4394381358937, 43.6696668484831]]}"
4480691,1210,BP-19355,1351,Dufferin St,Dufferin St,East,Geary Ave,North,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.43946308106221, 43.6697208516768]]}"
4480692,1211,BP-19356,2461,Bloor St W,Bloor St W,South,Jane St,West,,04,Bloor West Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.48471232720692, 43.64905791042211]]}"
4480693,1213,BP-19333,499,King St W,King St W,South,Brant St,East,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3974027587069, 43.644917370095]]}"
4480694,1214,BP-19335,36,Blue Jays Way,Blue Jays Way,West,Wellington St W,North,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3919370351618, 43.6449161416017]]}"
4480695,1215,BP-19336,36,Blue Jays Way,Blue Jays Way,West,Wellington St W,North,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.39193992851, 43.6449270629975]]}"
4480696,1216,BP-19337,1075,Queen St E,Queen St E,South,Winnifred Ave,West,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3364635363446, 43.6617949874476]]}"
4480697,1217,BP-19338,1075,Queen St E,Queen St E,South,Winnifred Ave,West,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3364809213245, 43.6617897825378]]}"
4480698,1218,BP-19339,1075,Queen St E,Queen St E,South,Winnifred Ave,West,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3365571529753, 43.6617703046387]]}"
4480699,1219,BP-19340,1075,Queen St E,Queen St E,South,Winnifred Ave,West,,14,Leslieville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3365977826465, 43.6617617124338]]}"
4480700,1220,BP-19343,710,Spadina Ave,Spadina Ave,West,Sussex Ave,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4031031868839, 43.665121569961606]]}"
4480701,1221,BP-19344,710,Spadina Ave,Spadina Ave,West,Sussex Ave,North,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.40312403336462, 43.6651738133894]]}"
4480702,1222,BP-19345,169,Harbord St,Harbord St,South,Borden St,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4073780624049, 43.6619227068913]]}"
4480703,1223,BP-19346,169,Harbord St,Harbord St,South,Borden St,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4074025364084, 43.6619155976554]]}"
4480704,1224,BP-19347,93,Harbord St,Harbord St,South,Robert St,East,,11,Harbord Street,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4035793645161, 43.6626911699198]]}"
4480705,1225,BP-19349,142,Bathurst St,Bathurst St,West,Portugal Sq,North,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4035276847938, 43.645676972736]]}"
4480706,1226,BP-19350,142,Bathurst St,Bathurst St,West,Portugal Sq,North,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4035356606257, 43.6456967914778]]}"
4480707,1227,BP-19351,82,Bathurst St,Bathurst St,West,King St W,South,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4025140686819, 43.643188602226]]}"
4480708,1229,BP-19353,398,Adelaide St W,Adelaide St W,North,Spadina Ave,West,,10,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3961908510183, 43.6466849367633]]}"
4480709,1238,BP-19444,30,Nelson St,Nelson St,North,Duncan St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3884915956108, 43.6489205018748]]}"
4480710,1239,BP-19445,30,Nelson St,Nelson St,North,Duncan St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3884760560277, 43.6489243302977]]}"
4480711,1240,BP-19446,30,Nelson St,Nelson St,North,Duncan St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3884642864116, 43.6489273432727]]}"
4480712,1241,BP-19447,30,Nelson St,Nelson St,North,Duncan St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3883643881417, 43.6489457435606]]}"
4480713,1243,BP-19449,30,Nelson St,Nelson St,North,Duncan St,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3883417436021, 43.6489505911819]]}"
4480714,1244,BP-19359,42,Pardee Ave,Pardee Ave,West,Liberty St,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4228696291187, 43.6376435751504]]}"
4480715,1245,BP-19358,42,Pardee Ave,Pardee Ave,West,Liberty St,South,,10,Liberty Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.422860216204, 43.6376191390509]]}"
4480716,1246,BP-19421,100,Richmond St W,York St,East,Queen St W,South,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.384757705477, 43.6510555040775]]}"
4480717,1247,BP-19423,145,Richmond St W,University Ave,East,Richmond St W,South,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3859382670976, 43.6500007295501]]}"
4480718,1248,BP-19424,145,Richmond St W,University Ave,East,Richmond St W,,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3858916309097, 43.64990940920621]]}"
4480719,1249,BP-19425,145,Richmond St W,Richmond St W,South,University Ave,East,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.38586527039061, 43.6501022460519]]}"
4480720,1250,BP-19426,145,Richmond St W,Richmond St W,South,University Ave,East,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3858391050622, 43.6501068556258]]}"
4480721,1251,BP-19417,254,Queen St W,Queen St W,North,John St,West,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3912572423987, 43.649892594843]]}"
4480722,1252,BP-19419,75,Simcoe St,Simcoe St,East,King St W,South,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3859269912664, 43.6472011953122]]}"
4480723,1253,BP-19420,75,Simcoe St,Simcoe St,East,King St W,South,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.385915306823, 43.6471724152878]]}"
4480724,1260,BP-19323,1256,Bay St,Bay St,West,Yorkville Ave,South,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3901617594675, 43.6710695328989]]}"
4480725,1261,BP-19328,1000,College St,College St,North,Rusholme Rd,West,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4286641550281, 43.6531956542582]]}"
4480726,1262,BP-19324,1262,Bay St,Bay St,West,Yorkville Ave,South,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3901235429883, 43.670979626914]]}"
4480727,1263,BP-19330,998,College St,College St,North,Rusholme Rd,West,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4285439811695, 43.6532237264448]]}"
4480728,1264,BP-19331,924,College St,College St,North,Dovercourt Rd,East,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.42571091242212, 43.653818062247]]}"
4480729,1265,BP-19332,924,College St,College St,North,Dovercourt Rd,East,,09,College Promenade,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4256786962936, 43.6538245942932]]}"
4480730,1266,BP-19384,2340,Yonge St,Yonge St,West,Roehampton Ave,South,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3986556959044, 43.7077415687263]]}"
4480731,1267,BP-19382,3042,Yonge St,Yonge St,West,Lawrence Ave W,South,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.402288002422, 43.7248914229068]]}"
4480732,1268,BP-19383,3042,Yonge St,Yonge St,West,Lawrence Ave W,South,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4022823917973, 43.7248687889856]]}"
4480733,1269,BP-19388,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3986135532037, 43.7074788562881]]}"
4480734,1270,BP-19385,2340,Yonge St,Yonge St,West,Roehampton Ave,South,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3986500147709, 43.70771834941391]]}"
4480735,1271,BP-19386,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3986187801956, 43.7075211938987]]}"
4480736,1272,BP-19387,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,,08,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3986157033068, 43.7074988860218]]}"
4480737,1320,BP-13431,1862,Eglinton Ave W,,,Shortt St,,,08,Fairbank Village,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4514203468189, 43.69552236928491]]}"
4480738,1322,BP-07798,102,Atlantic Ave,,,Hanna Ave,,,10,Liberty Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.420981612841, 43.6391278554393]]}"
4480739,1381,BP-14326,145,Queens Quay W,,,York St,,,10,The Waterfront,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3795455848565, 43.6395083872729]]}"
4480740,1389,BP-15552,61,Hanna Ave,,,Hanna Ave,,,10,Liberty Village,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4177104044083, 43.6396802034376]]}"
4480741,1411,BP-13552,258,Christie St,,,Melville Ave,,,11,,,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4213052490473, 43.6708575441072]]}"
4480742,1417,BP-19577,171,The Esplanade,Lower Sherbourne St,West,The Esplanade,South,,10,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3672264953941, 43.6487428496347]]}"
4480743,1418,BP-19578,171,The Esplanade,Lower Sherbourne St,West,The Esplanade,South,,10,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3672121716614, 43.6487062334563]]}"
4480744,1420,BP-19581,238,Front St E,Front St E,North,Berkeley St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.364303201526, 43.6512787458046]]}"
4480745,1421,BP-19582,238,Front St E,Front St E,North,Berkeley St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3643938156435, 43.6512593743913]]}"
4480746,1422,BP-19583,238,Front St E,Front St E,North,Berkeley St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3644466635348, 43.6512480683538]]}"
4480747,1423,BP-19584,238,Front St E,Front St E,North,Berkeley St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3644995237828, 43.6512367713078]]}"
4480748,1424,BP-19585,260,Front St E,Front St E,North,Berkeley St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3636053719391, 43.6514398497617]]}"
4480749,1425,BP-19587,260,Front St E,Front St E,North,Berkeley St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3634507871719, 43.651476867829]]}"
4480750,1426,BP-19588,260,Front St E,Front St E,North,Berkeley St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3634019236071, 43.6514912836353]]}"
4480751,1427,BP-19589,41,Avenue Rd,Avenue Rd,East,Yorkville Ave,North,,11,Bloor-Yorkville,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3948149943144, 43.6706472733706]]}"
4480752,1428,BP-19590,36,Avenue Rd,Avenue Rd,West,Yorkville Ave,South,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3948706882862, 43.6701983473202]]}"
4480753,1429,BP-19591,36,Avenue Rd,Avenue Rd,West,Yorkville Ave,South,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.394858069076, 43.67016728112801]]}"
4480754,1430,BP-19592,34,Avenue Rd,Avenue Rd,West,Yorkville Ave,South,,11,Bloor-Yorkville,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3948421907855, 43.6701349157447]]}"
4480755,1431,BP-19595,,Yonge St,Yonge St,East,Bloor St E,North,,11,Bloor Street,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3867771814116, 43.6705028285342]]}"
4480756,1432,BP-19597,,Park Rd,Park Rd,East,Bloor St E,North,,11,Bloor Street,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3842737749818, 43.6711571664794]]}"
4480757,1433,BP-19598,490,Sherbourne St,Sherbourne St,West,Lourdes Lane,South,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3750122814972, 43.6676612090141]]}"
4480758,1441,BP-09398,1622,Eglinton Ave W,,,Times Rd,,,12,York-Eglinton,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4441356044158, 43.6971049062255]]}"
4480759,1467,BP-13582,145,Queen St E,,,Jarvis St,,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3730411391701, 43.6536793105068]]}"
4480760,1477,BP-19428,181,Bedford Rd,Davenport Rd,North,Bedford Rd,East,,11,,Ring,Temporarily Removed,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.399383765913, 43.6744482622172]]}"
4480761,1478,BP-19430,354,Davenport Rd,Davenport Rd,East,Dupont St,South,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4015670194389, 43.6752714616781]]}"
4480762,1479,BP-19451,,,Walton St,North,Yonge St,West,,11,Downtown Yonge,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3820931640855, 43.6586958809501]]}"
4480763,1480,BP-19452,,,Walton St,North,Yonge St,West,,11,Downtown Yonge,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3821277697221, 43.658688472524]]}"
4480764,1481,BP-19453,,,Walton St,North,Yonge St,West,,11,Downtown Yonge,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3822979189098, 43.6586526964619]]}"
4480765,1482,BP-19465,55,Gateway Blvd,Gateway Blvd,East,Grenoble Dr,North,,16,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3303814166603, 43.7118558209565]]}"
4480766,1483,BP-19466,55,Gateway Blvd,Gateway Blvd,East,Grenoble Dr,North,,16,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3303769734282, 43.7118252820813]]}"
4480767,1484,BP-19467,55,Gateway Blvd,Gateway Blvd,East,Grenoble Dr,North,,16,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3303728055882, 43.7117938974958]]}"
4480768,1485,BP-19468,874,Eglinton Ave E,Eglinton Ave E,North,Laird Dr,West,,15,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3651059749303, 43.7136167161068]]}"
4480769,1488,BP-19290,1032,St Clair Ave W,St Clair Ave W,North,Glenholme Ave,East,,09,Regal Heights Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4383248408727, 43.6791012061012]]}"
4480770,1489,BP-19293,986,St Clair Ave W,St Clair Ave W,North,Crang Ave,West,,09,Regal Heights Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4367840011488, 43.6794391558789]]}"
4480771,1490,BP-19294,992,St Clair Ave W,St Clair Ave W,North,Crang Ave,West,,09,Regal Heights Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4369599240483, 43.6793984590722]]}"
4480772,1491,BP-19295,1018,St Clair Ave W,St Clair Ave W,North,Appleton Ave,West,,09,Regal Heights Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4377008269072, 43.67924169329871]]}"
4480773,1492,BP-19299,40,Dovercourt Rd,Dovercourt Rd,West,Sudbury St,North,,09,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4218245504892, 43.6418574633217]]}"
4480774,1493,BP-19297,1024,St Clair Ave W,St Clair Ave W,North,Appleton Ave,West,,09,Regal Heights Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4379956742652, 43.6791665576061]]}"
